LA,LAName,Number2YOInFundedEduc,2YOPercentInFundedEd2015,2YOPercentInFundedEd2016,2YOPercentInFundedEd2017,Number3and4YearOldsInFundedEduc,3and4PercentInFundedEd2015,3and4PercentInFundedEd2016,3and4PercentInFundedEd2017
301,Barking and Dagenham,1350,63,73,77,7180,87,89,87
302,Barnet,730,37,46,46,8950,82,82,80
370,Barnsley,810,68,71,68,5770,97,97,96
800,Bath and North East Somerset,340,67,87,92,4040,101,98,104
822,Bedford Borough,520,52,72,75,4460,103,100,98
303,Bexley,570,55,56,64,6160,96,95,92
330,Birmingham,5660,49,58,62,32360,94,93,93
889,Blackburn with Darwen,710,57,67,67,4300,99,99,97
890,Blackpool,590,59,67,62,3010,97,93,88
350,Bolton,1140,50,65,65,7850,97,97,99
837,Bournemouth,500,72,77,72,4320,94,95,96
867,Bracknell Forest,180,69,64,72,2860,88,88,88
380,Bradford,3150,71,67,71,15400,96,94,94
304,Brent,1130,45,55,59,7900,83,81,80
846,Brighton and Hove,660,79,85,81,5660,101,98,94
801,"Bristol, City of",1520,50,61,70,11190,92,92,92
305,Bromley,570,63,68,62,8210,97,96,92
825,Buckinghamshire,1060,68,82,77,12760,95,96,95
351,Bury,780,58,75,89,4930,96,96,97
381,Calderdale,930,72,83,85,5500,106,102,103
873,Cambridgeshire,1340,60,79,79,15140,96,97,96
202,Camden,460,41,56,59,3970,71,69,70
823,Central Bedfordshire,570,70,79,77,6920,99,96,96
895,Cheshire East,730,65,79,76,8450,103,103,101
896,Cheshire West and Chester,910,66,79,91,7830,106,102,102
201,City of London,10,40,40,120,110,66,50,70
908,Cornwall,1760,71,79,88,11680,98,96,96
331,Coventry,1160,64,63,59,8660,91,92,90
306,Croydon,1170,38,53,66,9850,88,88,84
909,Cumbria,1330,78,82,94,10200,101,101,101
841,Darlington,420,57,79,79,2510,97,96,97
831,Derby,1090,63,69,69,6720,93,95,93
830,Derbyshire,1720,57,62,68,16820,100,99,100
878,Devon,1940,65,82,90,15940,99,101,101
371,Doncaster,1240,60,74,74,7340,95,96,96
835,Dorset,840,66,84,81,8040,99,99,100
332,Dudley,940,45,60,61,7760,96,96,96
840,Durham,1860,62,73,79,11060,95,96,96
307,Ealing,1060,49,59,59,9030,91,87,85
811,East Riding of Yorkshire,860,66,92,92,7040,101,105,106
845,East Sussex,1430,68,75,76,11250,94,95,97
308,Enfield,1270,54,63,54,8530,88,86,83
,ENGLAND,163249,58,68,71,1317658,95,95,95
881,Essex,3010,59,68,64,34220,98,98,97
390,Gateshead,750,58,75,78,4510,97,98,100
916,Gloucestershire,1340,62,66,71,13950,98,98,98
203,Greenwich,800,49,54,52,7760,90,88,88
204,Hackney,1330,42,47,61,7120,91,88,87
876,Halton,540,59,74,95,3020,90,93,92
205,Hammersmith and Fulham,400,43,51,66,3900,86,85,86
850,Hampshire,2410,60,70,74,31000,96,97,97
309,Haringey,760,40,50,49,5970,88,83,81
310,Harrow,540,47,55,55,6250,90,86,85
805,Hartlepool,470,71,84,85,2190,97,101,98
311,Havering,610,48,66,60,6370,99,96,95
884,Herefordshire,360,55,62,67,3990,94,94,98
919,Hertfordshire,2380,57,68,72,29510,93,94,93
312,Hillingdon,630,42,50,45,8300,96,94,89
313,Hounslow,770,46,59,72,7210,84,82,83
921,Isle of Wight,430,58,72,76,2710,97,97,97
420,Isles of Scilly,x,0,60,67,50,92,122,114
206,Islington,720,53,64,68,4390,88,85,84
207,Kensington and Chelsea,190,52,57,62,2610,76,69,75
886,Kent,3820,52,65,66,36440,95,96,97
