Country_code,Country_name,Region_code,Region_name,LA_code,LA_name,ELIG_all_17,GOODLEV_all_17,ELIG_all_FSM_17,GOODLEV_all_FSM_17,ELIG_all_Allother_17,GOODLEV_all_Allother_17,%All_GLD,%FSM_GLD,%All_Other_GLD,%All_GLD_Nat,%FSM_GLD_Nat,%All_Other_GLD_Nat,within_LA_GAP,FSM_Nat_Av_Gap,All_Other_Nat_Av_Gap,Below_FSM_Nat_Av_Gap,Above_FSM_Nat_Av_Gap,Below_All_Other_Nat_Av_Gap,Above_All_Other_Nat_Av_Gap,Flag_FSM_Nat_Av_Gap,Flag_All_Other_Nat_Av_Gap,rank_FSM,rank_within_LA_GAP,rank_FSM_Nat_Av_Gap,rank_All_Other_Nat_Av_Gap
E92000001,England,E12000001,North East,E08000020,Gateshead,2227,1557,362,204,1865,1353,69.9146834306242,56.353591160221,72.5469168900804,0.707047997802539,0.559967700046922,0.730358356551019,16.1933257298594,0.356821155528775,-0.488918765021495,0,0.00356821155528775,-0.00488918765021495,0,above,below,78,82,74,89
E92000001,England,E12000001,North East,E08000021,Newcastle upon Tyne,3275,2326,697,424,2578,1902,71.0229007633588,60.832137733142,73.77812257564,0.707047997802539,0.559967700046922,0.730358356551019,12.945984842498,4.83536772844981,0.742286920538104,0,0.0483536772844981,0,0.00742286920538104,above,above,119,111,33,59
E92000001,England,E12000001,North East,E08000022,North Tyneside,2317,1627,349,203,1968,1424,70.2201122140699,58.1661891117479,72.3577235772358,0.707047997802539,0.559967700046922,0.730358356551019,14.1915344654879,2.16941910705563,-0.678112077866144,0,0.0216941910705563,-0.00678112077866144,0,above,below,97,99,55,93
E92000001,England,E12000001,North East,E08000023,South Tyneside,1724,1243,392,236,1332,1007,72.0997679814385,60.2040816326531,75.6006006006006,0.707047997802539,0.559967700046922,0.730358356551019,15.3965189679475,4.20731162796084,2.56476494549868,0,0.0420731162796084,0,0.0256476494549868,above,above,114,87,38,31
E92000001,England,E12000001,North East,E08000024,Sunderland,3270,2304,684,381,2586,1923,70.4587155963303,55.7017543859649,74.3619489559165,0.707047997802539,0.559967700046922,0.730358356551019,18.6601945699516,-0.295015618727312,1.32611330081455,-0.00295015618727312,0,0,0.0132611330081455,below,above,75,53,77,48
E92000001,England,E12000001,North East,E06000001,Hartlepool,1197,833,339,207,858,626,69.5906432748538,61.0619469026549,72.960372960373,0.707047997802539,0.559967700046922,0.730358356551019,11.8984260577181,5.06517689796264,-0.0754626947289561,0,0.0506517689796264,-0.000754626947289561,0,above,below,121,122,31,78
E92000001,England,E12000001,North East,E06000002,Middlesbrough,1941,1226,469,260,1472,966,63.1633178773828,55.4371002132196,65.625,0.707047997802539,0.559967700046922,0.730358356551019,10.1878997867804,-0.559669791472606,-7.41083565510192,-0.00559669791472606,0,-0.0741083565510192,0,below,below,68,135,84,149
E92000001,England,E12000001,North East,E06000003,Redcar and Cleveland,1727,1189,418,232,1309,957,68.8477127967574,55.5023923444976,73.109243697479,0.707047997802539,0.559967700046922,0.730358356551019,17.6068513529814,-0.494377660194612,0.0734080423770656,-0.00494377660194612,0,0,0.000734080423770656,below,above,69,68,83,73
E92000001,England,E12000001,North East,E06000004,Stockton-on-Tees,2554,1770,460,256,2094,1514,69.3030540328896,55.6521739130435,72.3018147086915,0.707047997802539,0.559967700046922,0.730358356551019,16.649640795648,-0.344596091648741,-0.734020946410419,-0.00344596091648741,0,-0.00734020946410419,0,below,below,72,78,80,95
E92000001,England,E12000001,North East,E06000047,Durham,5625,4046,1222,693,4403,3353,71.9288888888889,56.7103109656301,76.1526232114468,0.707047997802539,0.559967700046922,0.730358356551019,19.4423122458166,0.713540960937897,3.11678755634482,0,0.00713540960937897,0,0.0311678755634482,above,above,82,47,70,23
E92000001,England,E12000001,North East,E06000005,Darlington,1308,945,254,156,1054,789,72.2477064220184,61.4173228346457,74.8576850094877,0.707047997802539,0.559967700046922,0.730358356551019,13.440362174842,5.42055282995345,1.82184935438574,0,0.0542055282995345,0,0.0182184935438574,above,above,125,106,27,39
E92000001,England,E12000001,North East,E06000048,Northumberland,3482,2607,423,245,3059,2362,74.8707639287766,57.919621749409,77.2147760706113,0.707047997802539,0.559967700046922,0.730358356551019,19.2951543212023,1.92285174471676,4.17894041550939,0,0.0192285174471676,0,0.0417894041550939,above,above,95,48,57,14
E92000001,England,E12000002,North West,E08000011,Knowsley,1940,1301,504,272,1436,1029,67.0618556701031,53.968253968254,71.6573816155989,0.707047997802539,0.559967700046922,0.730358356551019,17.6891276473449,-2.02851603643825,-1.37845403950304,-0.0202851603643825,0,-0.0137845403950304,0,below,below,58,65,94,107
E92000001,England,E12000002,North West,E08000012,Liverpool,5565,3456,1151,580,4414,2876,62.1024258760108,50.390964378801,65.1563207974626,0.707047997802539,0.559967700046922,0.730358356551019,14.7653564186616,-5.60580562589118,-7.8795148576393,-0.0560580562589118,0,-0.078795148576393,0,below,below,20,95,132,150
E92000001,England,E12000002,North West,E08000013,St. Helens,2163,1451,407,199,1756,1252,67.08275543227,48.8943488943489,71.2984054669704,0.707047997802539,0.559967700046922,0.730358356551019,22.4040565726215,-7.10242111034333,-1.73743018813154,-0.0710242111034333,0,-0.0173743018813154,0,below,below,11,17,141,113
E92000001,England,E12000002,North West,E08000014,Sefton,3007,2115,534,302,2473,1813,70.3358829398071,56.5543071161049,73.3117670845127,0.707047997802539,0.559967700046922,0.730358356551019,16.7574599684079,0.557537111412654,0.275931429410814,0,0.00557537111412654,0,0.00275931429410814,above,above,81,76,71,70
E92000001,England,E12000002,North West,E08000015,Wirral,3946,2738,781,410,3165,2328,69.386720729853,52.4967989756722,73.5545023696683,0.707047997802539,0.559967700046922,0.730358356551019,21.057703393996,-3.49997102902001,0.518666714566329,-0.0349997102902001,0,0,0.00518666714566329,below,above,38,32,114,66
E92000001,England,E12000002,North West,E08000001,Bolton,4157,2749,676,351,3481,2398,66.1294202549916,51.9230769230769,68.8882505027291,0.707047997802539,0.559967700046922,0.730358356551019,16.9651735796522,-4.07369308161529,-4.14758515237282,-0.0407369308161529,0,-0.0414758515237282,0,below,below,32.5,74,119.5,130
E92000001,England,E12000002,North West,E08000002,Bury,2481,1704,357,215,2124,1489,68.6819830713422,60.2240896358543,70.1035781544256,0.707047997802539,0.559967700046922,0.730358356551019,9.87948851857128,4.22731963116212,-2.93225750067631,0,0.0422731963116212,-0.0293225750067631,0,above,below,115,136,37,123
E92000001,England,E12000002,North West,E08000003,Manchester,7199,4768,1831,1089,5368,3679,66.2314210306987,59.4756963407974,68.5357675111774,0.707047997802539,0.559967700046922,0.730358356551019,9.06007117037997,3.47892633610516,-4.50006814392457,0,0.0347892633610516,-0.0450006814392457,0,above,below,108,138,44,138
E92000001,England,E12000002,North West,E08000004,Oldham,3379,2153,558,290,2821,1863,63.7170760580053,51.9713261648746,66.0404112017015,0.707047997802539,0.559967700046922,0.730358356551019,14.069085036827,-4.02544383981767,-6.9954244534004,-0.0402544383981767,0,-0.069954244534004,0,below,below,34,101,118,148
E92000001,England,E12000002,North West,E08000005,Rochdale,3102,1980,582,296,2520,1684,63.8297872340426,50.8591065292096,66.8253968253968,0.707047997802539,0.559967700046922,0.730358356551019,15.9662902961872,-5.1376634754826,-6.2104388297051,-0.051376634754826,0,-0.062104388297051,0,below,below,26,83,126,144
E92000001,England,E12000002,North West,E08000006,Salford,3323,2246,610,352,2713,1894,67.5895275353596,57.7049180327869,69.8120162182086,0.707047997802539,0.559967700046922,0.730358356551019,12.1070981854217,1.70814802809467,-3.22381943689329,0,0.0170814802809467,-0.0322381943689329,0,above,below,92,121,60,125
